beta_stage2,beta_mf0,beta_mf1,beta_mb,beta_stick,Q_MB_rare_prob,alpha,rew_rate,rew_rate_stderr
8.0,0.09394825431905657,0.0,0.40605174568094343,0.0,0.3,0.01,0.5324833333333333,0.002131444259095139
8.0,0.0,0.05072725446036136,0.44927274553963864,0.0,0.3,0.01,0.5325,0.0021309231176495627
8.0,0.0,0.4873209146779369,0.012679085322063077,0.0,0.3,0.01,0.53225,0.002156788378842744
8.0,0.0,0.3179146585901384,0.1820853414098616,0.0,0.3,0.01,0.5321666666666666,0.0021581670892646806
8.0,0.0,0.2300485160793042,0.2699514839206958,0.0,0.3,0.01,0.5322833333333332,0.0021607892505251833
8.0,0.0,0.4667909087291855,0.033209091270814506,0.0,0.3,0.01,0.5322666666666667,0.002155377426775146
8.0,0.20291105727832798,0.297088942721672,0.0,0.0,0.3,0.01,0.5321999999999999,0.002160370338622524
8.0,0.45207396683541534,0.04792603316458466,0.0,0.0,0.3,0.01,0.5320666666666667,0.002164277315016792
8.0,0.03399610597782948,0.4660038940221705,0.0,0.0,0.3,0.01,0.5322666666666667,0.0021571809450367458
8.0,0.12634265346778156,0.37365734653221844,0.0,0.0,0.3,0.01,0.53225,0.002161933933619002
8.0,0.33232307548768175,0.16767692451231825,0.0,0.0,0.3,0.01,0.53225,0.002163860362099797
8.0,0.3841752379616795,0.021802086656040498,0.09402267538227999,0.0,0.3,0.01,0.5321,0.002165966553553196
8.0,0.14824039992950067,0.04297027754275973,0.3087893225277396,0.0,0.3,0.01,0.5338833333333334,0.0021274682832644752
8.0,0.21558102984193606,0.2354949821890212,0.04892398796904274,0.0,0.3,0.01,0.5339833333333334,0.0021277659558708428
8.0,0.1406673488438256,0.27304639009139425,0.08628626106478016,0.0,0.3,0.01,0.5338999999999999,0.00212651775863212
8.0,0.3246123674301436,0.016180414124840614,0.15920721844501579,0.0,0.3,0.01,0.5338833333333333,0.002132554328255897
8.0,0.12600083938488776,0.03250049196270216,0.3414986686524101,0.0,0.3,0.01,0.5339,0.0021291286689368695
8.0,0.24930003433635822,0.09328818370077724,0.15741178196286454,0.0,0.3,0.01,0.5339,0.002131606071591194
8.0,0.37227753797620106,0.12338832306807573,0.00433413895572321,0.0,0.3,0.01,0.5339999999999999,0.0021294235004912575
8.0,0.11832286670773517,0.08145105543869524,0.3002260778535696,0.0,0.3,0.01,0.5338666666666666,0.00213154786394683
8.0,0.0009062620203176275,0.47324147325904803,0.025852264720634344,0.0,0.3,0.01,0.5337999999999999,0.002133510409317626
