beta_stage2,beta_mf0,beta_mf1,beta_mb,beta_stick,Q_MB_rare_prob,alpha,lam,rew_rate,rew_rate_stderr
8.0,0.27491005264771784,0.0,0.7250899473522822,0.0,0.3,0.01,0.0,0.5340312500000001,0.0024356951952131394
8.0,0.0,1.0,0.0,0.0,0.3,0.01,0.0,0.5340312500000001,0.0024356951952131394
8.0,1.0,0.0,0.0,0.0,0.3,0.01,0.0,0.5340312500000001,0.0024356951952131394
8.0,0.0,0.0,1.0,0.0,0.3,0.01,0.0,0.5340312500000001,0.0024356951952131394
8.0,0.08296989145671108,0.0,0.9170301085432889,0.0,0.3,0.01,0.0,0.5340312500000001,0.0024356951952131394
8.0,0.0,0.25685706121140406,0.7431429387885959,0.0,0.3,0.01,0.0,0.5340312500000001,0.0024356951952131394
8.0,0.0,0.8418436013679472,0.15815639863205277,0.0,0.3,0.01,0.0,0.538,0.0026376925285180606
8.0,0.0,0.25732146580408954,0.7426785341959105,0.0,0.3,0.01,0.0,0.538,0.0026376925285180606
8.0,0.42324219769709603,0.576757802302904,0.0,0.0,0.3,0.01,0.0,0.538,0.0026376925285180606
8.0,0.0,0.4573934788003755,0.5426065211996245,0.0,0.3,0.01,0.0,0.538,0.0026376925285180606
8.0,0.0,0.0016316016030348823,0.9983683983969651,0.0,0.3,0.01,0.0,0.538,0.0026376925285180606
8.0,0.474008900158457,0.525991099841543,0.0,0.0,0.3,0.01,0.0,0.538,0.0026376925285180606
8.0,0.09879122721512723,0.9012087727848728,0.0,0.0,0.3,0.01,0.0,0.538,0.0026376925285180606
8.0,0.2002130254062342,0.7997869745937658,0.0,0.0,0.3,0.01,0.0,0.538,0.0026376925285180606
8.0,0.021915327106837967,0.16635979460150552,0.8117248782916565,0.0,0.3,0.01,0.0,0.5325625,0.0028170059391022764
8.0,0.43499803811043314,0.517877072753309,0.0471248891362579,0.0,0.3,0.01,0.0,0.5325625,0.0028170059391022764
8.0,0.09158403720316521,0.5238578697223959,0.3845580930744389,0.0,0.3,0.01,0.0,0.5325625,0.0028170059391022764
8.0,0.045483961396525885,0.3841030448649355,0.5704129937385386,0.0,0.3,0.01,0.0,0.5325625,0.0028170059391022764
8.0,0.06676437662831569,0.8870509856117152,0.04618463775996906,0.0,0.3,0.01,0.0,0.5325625,0.0028170059391022764
8.0,0.28671036194898647,0.49388108447070556,0.21940855358030797,0.0,0.3,0.01,0.0,0.5325625,0.0028170059391022764
8.0,0.6897654796799155,0.04492549573872018,0.2653090245813643,0.0,0.3,0.01,0.0,0.5325625,0.0028170059391022764
8.0,0.9545449317371145,0.04545506826288548,0.0,0.0,0.3,0.01,0.0,0.538,0.0026376925285180606
8.0,0.38604043942533106,0.2717580453668005,0.34220151520786846,0.0,0.3,0.01,0.0,0.538,0.0026376925285180606
8.0,0.014666436017117257,0.6103391082573295,0.37499445572555323,0.0,0.3,0.01,0.0,0.5325625,0.0028170059391022764
8.0,0.461500876351689,0.08780469003856983,0.45069443360974115,0.0,0.3,0.01,0.0,0.53496875,0.00298678628863606
8.0,0.1164229639774308,0.28322502514081194,0.6003520108817573,0.0,0.3,0.01,0.0,0.53496875,0.00298678628863606
8.0,0.0,0.0,1.0,0.0,0.3,0.01,0.5,0.5350937499999999,0.002995267059188441
8.0,1.0,0.0,0.0,0.0,0.3,0.01,0.5,0.5349375000000001,0.0029840027581987077
8.0,0.0,1.0,0.0,0.0,0.3,0.01,0.5,0.53496875,0.0029835148875084184
8.0,0.8671207099402515,0.0,0.13287929005974852,0.0,0.3,0.01,0.5,0.53496875,0.0029894008319367896
8.0,0.08296989145671108,0.0,0.9170301085432889,0.0,0.3,0.01,0.5,0.5350937499999999,0.002995267059188441
8.0,0.4751175514679711,0.0,0.5248824485320289,0.0,0.3,0.01,0.5,0.5349999999999999,0.0029938087154993713
8.0,0.2527989858138352,0.0,0.7472010141861648,0.0,0.3,0.01,0.5,0.532625,0.002819418573704514
8.0,0.4821717883158303,0.0,0.5178282116841697,0.0,0.3,0.01,0.5,0.53253125,0.0028138874615883935
8.0,0.27491005264771784,0.0,0.7250899473522822,0.0,0.3,0.01,0.5,0.53434375,0.00251329351391941
8.0,0.0,0.25685706121140406,0.7431429387885959,0.0,0.3,0.01,0.5,0.5345,0.002512546641358126
8.0,0.0,0.8418436013679472,0.15815639863205277,0.0,0.3,0.01,0.5,0.53440625,0.0024883995998149842
8.0,0.0,0.0016316016030348823,0.9983683983969651,0.0,0.3,0.01,0.5,0.53440625,0.00251843665661048
8.0,0.0,0.25732146580408954,0.7426785341959105,0.0,0.3,0.01,0.5,0.5345,0.002512546641358126
8.0,0.0,0.4573934788003755,0.5426065211996245,0.0,0.3,0.01,0.5,0.5345000000000001,0.0024977333474572494
8.0,0.42324219769709603,0.576757802302904,0.0,0.0,0.3,0.01,0.5,0.5344687499999999,0.0024978885126210847
