beta_stage2,beta_mf0,beta_mf1,beta_mb,beta_stick,Q_MB_rare_prob,alpha,lam,rew_rate,rew_rate_stderr
8.0,0.6813369800880903,0.27231731237120005,0.04634570754070966,0.0,0.3,0.01,0.0,0.53409375,0.00294575697077328
8.0,0.5676021754905233,0.21132152368632195,0.22107630082315477,0.0,0.3,0.01,0.0,0.53409375,0.00294575697077328
8.0,0.2612913431670236,0.05933165536902585,0.6793770014639505,0.0,0.3,0.01,0.0,0.53409375,0.00294575697077328
8.0,0.24529109836744123,0.7547089016325588,0.0,0.0,0.3,0.01,0.0,0.5368125,0.003187036577831747
8.0,0.041687452415233195,0.006301607870947801,0.952010939713819,0.0,0.3,0.01,0.0,0.5368125,0.003187036577831747
8.0,0.4570298714612726,0.17261440905403969,0.3703557194846877,0.0,0.3,0.01,0.0,0.53409375,0.00294575697077328
8.0,0.5087795267783743,0.3844056680053449,0.10681480521628073,0.0,0.3,0.01,0.0,0.53409375,0.00294575697077328
8.0,0.4923266817665457,0.4494891674927557,0.058184150740698604,0.0,0.3,0.01,0.0,0.53409375,0.00294575697077328
8.0,0.17645153548361492,0.3849959771492252,0.4385524873671599,0.0,0.3,0.01,0.0,0.53409375,0.00294575697077328
8.0,0.3278993642837026,0.13964824600709236,0.532452389709205,0.0,0.3,0.01,0.0,0.53409375,0.00294575697077328
8.0,0.32192157235768093,0.2748205705320066,0.4032578571103125,0.0,0.3,0.01,0.0,0.5294375,0.0029208261820823055
8.0,0.3780930233474714,0.3273114124433464,0.2945955642091822,0.0,0.3,0.01,0.0,0.5294375,0.0029208261820823055
8.0,0.0,0.0,1.0,0.0,0.3,0.01,0.5,0.52946875,0.0029015744900802347
8.0,0.9149816351189674,0.0,0.08501836488103265,0.0,0.3,0.01,0.5,0.52934375,0.002920202353794917
8.0,0.14280779250468734,0.0,0.8571922074953127,0.0,0.3,0.01,0.5,0.5294375,0.0029043970907810623
8.0,0.4703928315942538,0.0,0.5296071684057462,0.0,0.3,0.01,0.5,0.5294375,0.002907757505525091
8.0,0.9157047706560335,0.0,0.0842952293439665,0.0,0.3,0.01,0.5,0.52934375,0.002920202353794917
8.0,0.0,1.0,0.0,0.0,0.3,0.01,0.5,0.5341875,0.002932138558021686
8.0,1.0,0.0,0.0,0.0,0.3,0.01,0.5,0.53415625,0.0029455414781682106
8.0,0.8838995087800127,0.0,0.11610049121998733,0.0,0.3,0.01,0.5,0.5294062500000001,0.0029169399751039398
8.0,0.8102916596294973,0.0,0.18970834037050266,0.0,0.3,0.01,0.5,0.5343125000000001,0.002791409639131723
8.0,0.0,0.08384698438238303,0.916153015617617,0.0,0.3,0.01,0.5,0.53415625,0.0027962104220908292
8.0,0.0,0.41646916799602574,0.5835308320039743,0.0,0.3,0.01,0.5,0.5342500000000001,0.0027923584341914276
8.0,0.0,0.43176326659516007,0.5682367334048399,0.0,0.3,0.01,0.5,0.5342500000000001,0.0027923584341914276
8.0,0.0,0.7467031646886384,0.2532968353113616,0.0,0.3,0.01,0.5,0.5342500000000001,0.0027850044883267243
8.0,0.0,0.7048996241705012,0.2951003758294988,0.0,0.3,0.01,0.5,0.5342500000000001,0.0027902592845468676
8.0,0.32197392552356763,0.6780260744764324,0.0,0.0,0.3,0.01,0.5,0.5341875,0.002793647754001477
8.0,0.24529109836744123,0.7547089016325588,0.0,0.0,0.3,0.01,0.5,0.5344375,0.0029335037644321335
8.0,0.041687452415233195,0.006301607870947801,0.952010939713819,0.0,0.3,0.01,0.5,0.53446875,0.0029203611970926428
8.0,0.6813369800880903,0.27231731237120005,0.04634570754070966,0.0,0.3,0.01,0.5,0.5344375,0.002935500483041605
8.0,0.9395210394540262,0.06047896054597379,0.0,0.0,0.3,0.01,0.5,0.53434375,0.0027947781507857423
8.0,0.769502790788795,0.23049720921120498,0.0,0.0,0.3,0.01,0.5,0.529375,0.002918739962509507
8.0,0.2373870833743308,0.7626129166256692,0.0,0.0,0.3,0.01,0.5,0.5293750000000002,0.0029140520274610745
8.0,0.2612913431670236,0.05933165536902585,0.6793770014639505,0.0,0.3,0.01,0.5,0.53446875,0.0029203611970926428
8.0,0.5676021754905233,0.21132152368632195,0.22107630082315477,0.0,0.3,0.01,0.5,0.53446875,0.0029333737226075324
8.0,0.4570298714612726,0.17261440905403969,0.3703557194846877,0.0,0.3,0.01,0.5,0.53446875,0.0029363684240034274
8.0,0.5087795267783743,0.3844056680053449,0.10681480521628073,0.0,0.3,0.01,0.5,0.53440625,0.002935960991457375
8.0,0.4923266817665457,0.4494891674927557,0.058184150740698604,0.0,0.3,0.01,0.5,0.5320625,0.002908227653733025
8.0,0.17645153548361492,0.3849959771492252,0.4385524873671599,0.0,0.3,0.01,0.5,0.5319375,0.002922163254497855
8.0,0.3278993642837026,0.13964824600709236,0.532452389709205,0.0,0.3,0.01,0.5,0.5321562500000001,0.002917693155492772
8.0,1.0,0.0,0.0,0.0,0.3,0.01,1.0,0.53225,0.0029063508047033814
8.0,0.0,1.0,0.0,0.0,0.3,0.01,1.0,0.532125,0.00290525856745144
8.0,0.9149816351189674,0.0,0.08501836488103265,0.0,0.3,0.01,1.0,0.53225,0.0029033251411097576
8.0,0.32192157235768093,0.2748205705320066,0.4032578571103125,0.0,0.3,0.01,0.5,0.53446875,0.0029376984224873002
8.0,0.14280779250468734,0.0,0.8571922074953127,0.0,0.3,0.01,1.0,0.532,0.002929577081252513
